tool_type,citations,year,title,venue,method_class,doi
Desktop / generic software,70,2013,Analysis of trends in reference evapotranspiration data in a humid climate,Hydrological Sciences Journal,Deterministic,10.1080/02626667.2013.798659
Desktop / generic software,66,2017,A Methodology for Calculating Cooling from Vegetation Evapotranspiration for Use in Urban Space Microclimate Simulations,Procedia Environmental Sciences,Unclassified,10.1016/j.proenv.2017.03.139
Desktop / generic software,58,2017,Interoperable agro-meteorological observation and analysis platform for precision agriculture: A case study in citrus crop water requirement estimation,Computers and Electronics in Agriculture,Unclassified,10.1016/j.compag.2017.04.019
Other / unspecified,2049,2010,Recent decline in the global land evapotranspiration trend due to limited moisture supply,Nature,Non-deterministic,10.1038/nature09396
Other / unspecified,544,2017,Revisiting the contribution of transpiration to global terrestrial evapotranspiration,Geophysical Research Letters,Unclassified,10.1002/2016gl072235
Other / unspecified,524,2019,Evaluation of CatBoost method for prediction of reference evapotranspiration in humid regions,Journal of Hydrology,Non-deterministic,10.1016/j.jhydrol.2019.04.085
Other / unspecified,504,2018,"Evaluation of SVM, ELM and four tree-based ensemble models for predicting daily reference evapotranspiration using limited meteorological data in different climates of China",Agricultural and Forest Meteorology,Hybrid (both),10.1016/j.agrformet.2018.08.019
Other / unspecified,459,2002,Estimating evapotranspiration using artificial neural network,Journal of Irrigation and Drainage Engineering,Hybrid (both),10.1061/(asce)0733-9437(2002)128:4(224)
Other / unspecified,450,2006,Sensitivity of the Penman–Monteith reference evapotranspiration to key climatic variables in the Changjiang (Yangtze River) basin,Journal of Hydrology,Unclassified,10.1016/j.jhydrol.2006.03.027
Other / unspecified,419,2011,Integration of MODIS land and atmosphere products with a coupled-process model to estimate gross primary productivity and evapotranspiration from 1 km to global scales,Global Biogeochemical Cycles,Unclassified,10.1029/2011gb004053
Other / unspecified,379,2020,Coping with salinity in irrigated agriculture: Crop evapotranspiration and water management issues,Agricultural Water Management,Deterministic,10.1016/j.agwat.2019.105832
Other / unspecified,343,2016,Multi-scale evaluation of global gross primary productivity and evapotranspiration products derived from Breathing Earth System Simulator (BESS),Remote Sensing of Environment,Unclassified,10.1016/j.rse.2016.08.030
Other / unspecified,339,2007,Spatially distributing monthly reference evapotranspiration and pan evaporation considering topographic influences,Journal of Hydrology,Deterministic,10.1016/j.jhydrol.2007.02.018
Programming package / toolbox,120,2018,The Grape Remote Sensing Atmospheric Profile and Evapotranspiration Experiment,Bulletin of the American Meteorological Society,Unclassified,10.1175/bams-d-16-0244.1
Programming package / toolbox,100,2016,"An R package for modelling actual, potential and reference evapotranspiration",Environmental Modelling and Software,Non-deterministic,10.1016/j.envsoft.2015.12.019
Programming package / toolbox,28,2017,Calculation of the Standardised Precipitation-Evapotranspiration Index [R package SPEI version 1.7],,Unclassified,
Programming package / toolbox,21,2024,Tackling the problem of noisy IoT sensor data in smart agriculture: Regression noise filters for enhanced evapotranspiration prediction,Expert Systems with Applications,Unclassified,10.1016/j.eswa.2023.121608
Programming package / toolbox,20,2009,Concordance correlation for model performance assessment: An example with reference evapotranspiration observations,Agronomy Journal,Unclassified,10.2134/agronj2008.0180x
Programming package / toolbox,17,2022,An R package of maximum entropy production model to estimate 41 years of global evapotranspiration,Journal of Hydrology,Non-deterministic,10.1016/j.jhydrol.2022.128639
Programming package / toolbox,17,2023,Technical note: Improved handling of potential evapotranspiration in hydrological studies with PyEt,,Non-deterministic,10.5194/hess-2022-417
Programming package / toolbox,16,2024,agweather-qaqc: An Interactive Python Package forQuality Assurance and Quality Control of Daily Agricultural Weather Dataand Calculation of Reference Evapotranspiration,The Journal of Open Source Software,Unclassified,10.21105/joss.06368
Programming package / toolbox,13,2021,PyEt - a Python package to estimate potential and reference evapotranspiration,,Non-deterministic,10.5194/egusphere-egu21-15008
Programming package / toolbox,11,2019,Development of a gridded reference evapotranspiration dataset for the Great Lakes region,Journal of Hydrology Regional Studies,Non-deterministic,10.1016/j.ejrh.2019.100606
Remote-sensing / energy-balance model,1655,2007,Satellite-based energy balance for mapping evapotranspiration with internalized calibration (METRIC) - Model,Journal of Irrigation and Drainage Engineering,Deterministic,10.1061/(asce)0733-9437(2007)133:4(380)
Remote-sensing / energy-balance model,1401,2012,"A review of global terrestrial evapotranspiration: Observation, modeling, climatology, and climatic variability",Reviews of Geophysics,Hybrid (both),10.1029/2011rg000373
Remote-sensing / energy-balance model,752,2007,Satellite-based energy balance for mapping evapotranspiration with internalized calibration (METRIC) - Applications,Journal of Irrigation and Drainage Engineering,Deterministic,10.1061/(asce)0733-9437(2007)133:4(395)
Remote-sensing / energy-balance model,680,2009,A review of current methodologies for regional Evapotranspiration estimation from remotely sensed data,Sensors,Deterministic,10.3390/s90503801
Remote-sensing / energy-balance model,664,2012,Use of Landsat thermal imagery in monitoring evapotranspiration and managing water resources,Remote Sensing of Environment,Deterministic,10.1016/j.rse.2011.08.025
Remote-sensing / energy-balance model,580,2013,Operational Evapotranspiration Mapping Using Remote Sensing and Weather Datasets: A New Parameterization for the SSEB Approach,Journal of the American Water Resources Association,Hybrid (both),10.1111/jawr.12057
Remote-sensing / energy-balance model,564,2007,A climatological study of evapotranspiration and moisture stress across the continental United States based on thermal remote sensing: 1. Model formulation,Journal of Geophysical Research Atmospheres,Deterministic,10.1029/2006jd007506
Remote-sensing / energy-balance model,511,1996,Use of remote sensing for evapotranspiration monitoring over land surfaces,Hydrological Sciences Journal,Hybrid (both),10.1080/02626669609491522
Remote-sensing / energy-balance model,480,2011,Mapping daily evapotranspiration at field to continental scales using geostationary and polar orbiting satellite imagery,Hydrology and Earth System Sciences,Deterministic,10.5194/hess-15-223-2011
Remote-sensing / energy-balance model,434,2000,Using the FAO-56 dual crop coefficient method over an irrigated region as part of an evapotranspiration intercomparison study,Journal of Hydrology,Deterministic,10.1016/s0022-1694(99)00194-8
Web tool / online / API,69,2006,Sharing knowledge via software components: Models on reference evapotranspiration,European Journal of Agronomy,Deterministic,10.1016/j.eja.2005.07.005
Web tool / online / API,36,2016,"Ecosystem Evapotranspiration: Challenges in Measurements, Estimates, and Modeling",Transactions of the ASABE,Deterministic,10.13031/trans.59.11808
Web tool / online / API,32,2015,Estimation of evapotranspiration from ground-based meteorological data and global land data assimilation system (GLDAS),Stochastic Environmental Research and Risk Assessment,Hybrid (both),10.1007/s00477-014-1004-2
Web tool / online / API,31,2020,Investigation into the effects of climate change on reference evapotranspiration using the HadCM3 and LARS-WG,Water Switzerland,Non-deterministic,10.3390/w12030666
Web tool / online / API,29,2023,Data-driven estimation of actual evapotranspiration to support irrigation management: Testing two novel methods based on an unoccupied aerial vehicle and an artificial neural network,Agricultural Water Management,Hybrid (both),10.1016/j.agwat.2023.108317
Web tool / online / API,18,2022,"Development and Application of ETCalc, a Unique Online Tool for Estimation of Daily Evapotranspiration",ATMOSPHERE-OCEAN,Deterministic,10.1080/07055900.2022.2154191
Web tool / online / API,18,2011,Service-oriented approach for modeling and estimating reference evapotranspiration,Computers and Electronics in Agriculture,Deterministic,10.1016/j.compag.2011.09.001
Web tool / online / API,16,2019,Assessment of empirical methods for estimating potential evapotranspiration in Zabol Synoptic Station by REF-ET model,Medbiotech Journal,Deterministic,10.22034/mbt.2019.80823
Web tool / online / API,13,2016,Long-Term Potential and Actual Evapotranspiration of Two Different Forests on the Atlantic Coastal Plain,Transactions of the ASABE,Deterministic,10.13031/trans.59.11141
Web tool / online / API,9,2013,Methodology for the spatialisation of a reference evapotranspiration from SRTM data,Ciência Agronômica/Revista ciência agronômica,Deterministic,10.1590/s1806-66902013000300005
